cluster,variable,transformation,n_points,corr_r,corr_p,slope,intercept,equation
Cluster_1,HDW_av,Lin,416,0.3013349668335277,3.5193736594801503e-10,0.002942851237826995,236.94538239165547,y = 0.0029x + 236.9454
Cluster_1,dfmc_av,Pow,416,-0.27417068266550493,1.3122013077300732e-08,-0.540499247447049,6.8827212476356205,y = -0.5405x + 6.8827
Cluster_1,VPD_Pa_av,Exp,416,0.26266573618099076,5.418844886326139e-08,0.00013302893539464657,5.305146956633483,y = 0.0001x + 5.3051
Cluster_1,rh_2m_av,Exp,416,-0.2610023801702934,6.615575308472912e-08,-0.00826725374438975,5.93808586538571,y = -0.0083x + 5.9381
Cluster_1,BLH_m_av,Exp,416,0.24139567082754354,6.274044738345919e-07,0.00025463515146348674,5.392366145362295,y = 0.0003x + 5.3924
Cluster_1,LCL_hPa_av,Exp,416,-0.23979703435309085,7.47540046009857e-07,-0.0017040938126337702,6.901547957022635,y = -0.0017x + 6.9015
Cluster_1,t_2m_C_av,Exp,416,0.23845995277734744,8.646980781276333e-07,0.025760347457381382,4.929912552851576,y = 0.0258x + 4.9299
Cluster_1,LCL_m_av,Pow,416,0.2376925417467428,9.396961898897961e-07,0.5035802458333763,5.004320568692299,y = 0.5036x + 5.0043
Cluster_1,wv10_kh_av,Log,416,0.19971855569319139,4.0849105048756065e-05,55.124700005961955,176.14404596415517,y = 55.1247x + 176.1440
Cluster_1,LiftIdx_av,Pow,416,-0.19873934375268354,4.463117690885879e-05,-0.40627778764158123,6.739675950611346,y = -0.4063x + 6.7397
Cluster_1,rh_950_av,Exp,416,-0.1961288020605843,5.639624419252435e-05,-0.006038941178559493,5.82670869171192,y = -0.0060x + 5.8267
Cluster_1,Recirc,Exp,389,-0.1920921938648957,0.00013783740776436535,-0.9198968338277183,5.616673776492067,y = -0.9199x + 5.6167
Cluster_1,CircVar,Log,389,-0.17382823591216817,0.0005739227731300428,-231.90678717994203,311.68579199109035,y = -231.9068x + 311.6858
Cluster_1,wv100_k_av,Log,416,0.15871138214589914,0.0011623586911235593,42.11707251781998,186.33331633858495,y = 42.1171x + 186.3333
Cluster_1,gT_9_8_av,Exp,416,-0.15632226820579306,0.0013816731829474182,-0.027031044599629645,5.412671596497132,y = -0.0270x + 5.4127
Cluster_1,t_950_av,Exp,416,0.1516543434252341,0.0019234396380517005,0.017715914102997454,5.138143194781656,y = 0.0177x + 5.1381
Cluster_2,wSsin_7_av,Exp,52,-0.374651076135443,0.0062111840330690005,-1.6973191140925719,6.473276400008619,y = -1.6973x + 6.4733
Cluster_2,t_850_av,Log,52,0.3494956644900895,0.011097005972593676,65.71536791155408,450.3062374264241,y = 65.7154x + 450.3062
Cluster_2,wco_700_av,Log,52,-0.34611032530105096,0.01195808199508431,-20.799092054168323,646.7238688980389,y = -20.7991x + 646.7239
Cluster_2,landform,Log,52,0.322382715914142,0.019762178970264353,88.58478081646602,367.9752966528019,y = 88.5848x + 367.9753
Cluster_2,gp_500_av,Log,52,0.2921459185211751,0.0355909152990306,1182.0655542073073,-12308.786632024554,y = 1182.0656x + -12308.7866
Cluster_2,gp_700_av,Log,52,0.2879287953604598,0.03846454783889346,808.3529754997351,-7717.20267078541,y = 808.3530x + -7717.2027
Cluster_2,t_700_av,Log,52,0.283488533192483,0.041694163235564435,32.5434491177009,575.6084189692607,y = 32.5434x + 575.6084
Cluster_2,gp_300_av,Log,52,0.27341031228268287,0.04985471520437021,1332.8922093127649,-14619.372715637059,y = 1332.8922x + -14619.3727
