Variável,Grupo Alto (média),Grupo Baixo (média),Diferença,Diferença Relativa (%),Efeito,p-valor
HDW_av,42146.097,26626.1,15519.997,58.29,↑ MAIOR,0.0
VentIdx_av,13035.462,10692.47,2342.991,21.91,↑ MAIOR,0.0023
ros_p_lg1,2227.472,811.909,1415.563,174.35,↑ MAIOR,0.0
VPD_Pa_av,2972.278,2252.332,719.946,31.96,↑ MAIOR,0.0003
BLH_m_av,1188.625,840.191,348.434,41.47,↑ MAIOR,0.0032
gp_950_av,5639.872,5703.461,-63.589,-1.11,↓ MENOR,0.0462
LCL_hPa_av,722.491,766.42,-43.929,-5.73,↓ MENOR,0.0
wSv_1_av,84.623,69.188,15.435,22.31,↑ MAIOR,0.0005
rh_2m_av,32.002,41.23,-9.228,-22.38,↓ MENOR,0.0
rh_950_av,33.191,39.394,-6.203,-15.75,↓ MENOR,0.0021
wv_700_av,35.132,30.058,5.074,16.88,↑ MAIOR,0.0119
wv_950_av,23.21,18.146,5.064,27.91,↑ MAIOR,0.0001
FWI_12h_av,53.051,48.019,5.032,10.48,↑ MAIOR,0.0006
wv100_k_av,22.675,18.248,4.427,24.26,↑ MAIOR,0.0
wv_850_av,24.885,21.428,3.457,16.14,↑ MAIOR,0.0025
duration_p,1.465,4.869,-3.404,-69.91,↓ MENOR,0.0
wv10_kh_av,13.686,11.276,2.41,21.37,↑ MAIOR,0.0
t_2m_C_av,28.314,25.972,2.342,9.02,↑ MAIOR,0.0037
LiftIdx_av,14.396,16.5,-2.104,-12.75,↓ MENOR,0.0013
d_2m_C_av,8.222,10.067,-1.845,-18.33,↓ MENOR,0.0001
dfmc_av,8.43,10.161,-1.731,-17.04,↓ MENOR,0.0
t_950_av,26.722,25.25,1.473,5.83,↑ MAIOR,0.0372
land_use,5.0,5.776,-0.776,-13.44,↓ MENOR,0.0019
gT_8_7_av,-7.644,-6.9,-0.744,10.78,↓ MENOR,0.0001
gT_9_8_av,-6.984,-6.369,-0.616,9.67,↓ MENOR,0.0434
wcos10_av,-0.177,0.162,-0.339,-209.45,↓ MENOR,0.0001
wcos100_av,-0.158,0.172,-0.329,-191.69,↓ MENOR,0.0002
wco_950_av,-0.155,0.159,-0.314,-197.46,↓ MENOR,0.0005
wco_500_av,-0.398,-0.085,-0.313,367.04,↓ MENOR,0.0001
wco_700_av,-0.406,-0.156,-0.25,160.86,↓ MENOR,0.0107
