feature,coefficient,abs_coefficient,rank
gp_300_av,0.20409902711885766,0.20409902711885766,1
wv100_k_av,0.18774843840947458,0.18774843840947458,2
t_700_av,-0.13199701810817024,0.13199701810817024,3
gp_500_av,-0.12657397095696518,0.12657397095696518,4
duration_p,-0.12533671777406588,0.12533671777406588,5
wv_950_av,-0.11210419386905313,0.11210419386905313,6
rh_2m_av,-0.09504391138934952,0.09504391138934952,7
sW_28_av,0.09026591190152944,0.09026591190152944,8
t_2m_C_av,-0.08675535437371405,0.08675535437371405,9
wdi_500_av,-0.07842103644077607,0.07842103644077607,10
TotCC_p_av,0.07692309639159725,0.07692309639159725,11
gp_850_av,0.07586425350479345,0.07586425350479345,12
Recirc,-0.07319575108324232,0.07319575108324232,13
gT_8_7_av,0.06952203321802501,0.06952203321802501,14
wv_850_av,0.06774881410404276,0.06774881410404276,15
sW_100_av,-0.06365201090144156,0.06365201090144156,16
gT_9_8_av,0.061284727916491595,0.061284727916491595,17
LCL_hPa_av,-0.06108700666368893,0.06108700666368893,18
HDW_av,0.05747305492506395,0.05747305492506395,19
wv10_kh_av,-0.05632905065606401,0.05632905065606401,20
wdi_950_av,0.0518317968167475,0.0518317968167475,21
rh_950_av,0.05018895840327927,0.05018895840327927,22
8_ny_fir_p,-0.04766607313798837,0.04766607313798837,23
gp_950_av,-0.04599877572599223,0.04599877572599223,24
Cape_av,-0.0447481682239145,0.0447481682239145,25
wdi_300_av,0.04394453707011402,0.04394453707011402,26
gT_7_5_av,0.041129333114787864,0.041129333114787864,27
f_load_av,0.040757893028999785,0.040757893028999785,28
gp_m2s2_av,-0.0400481970582827,0.0400481970582827,29
CircVar,0.039461141190263616,0.039461141190263616,30
sW_7_av,-0.03794077776129493,0.03794077776129493,31
wSv_7_av,0.035973043637982975,0.035973043637982975,32
d_2m_C_av,0.035115069070044184,0.035115069070044184,33
aspect_av,0.03456286222781967,0.03456286222781967,34
rh_850_av,-0.03393032883219919,0.03393032883219919,35
gT_5_3_av,0.033343203868491815,0.033343203868491815,36
HigCC_p_av,-0.03202719454539626,0.03202719454539626,37
landform,-0.031764491548585225,0.031764491548585225,38
wSv_1_av,0.030965715401803,0.030965715401803,39
vwv_850_av,-0.03039763760850348,0.03039763760850348,40
rh_500_av,-0.029922766166024864,0.029922766166024864,41
sW_1m_av,-0.029204092209033743,0.029204092209033743,42
LiftIdx_av,-0.02832503545533775,0.02832503545533775,43
LCL_m_av,-0.02709502707154578,0.02709502707154578,44
wSv_9_av,-0.026941269185522757,0.026941269185522757,45
elev_av,-0.02480024238396456,0.02480024238396456,46
vwv_300_av,-0.02360842084530299,0.02360842084530299,47
sP_hPa_av,-0.02350740838694711,0.02350740838694711,48
LowCC_p_av,-0.02309539753792784,0.02309539753792784,49
Haines_av,-0.02239230199680733,0.02239230199680733,50
wSdir_7_av,0.022326485106955864,0.022326485106955864,51
1_3y_fir_p,-0.019028777540177105,0.019028777540177105,52
wdi_700_av,0.018734499309226906,0.018734499309226906,53
fuel_model,0.018422746313753742,0.018422746313753742,54
dfmc_av,-0.018031086926199997,0.018031086926199997,55
wv_700_av,-0.01791139971582065,0.01791139971582065,56
CMLG_av,-0.01639914063509443,0.01639914063509443,57
rh_700_av,-0.015684329808616764,0.015684329808616764,58
vwv_500_av,-0.015504782088485155,0.015504782088485155,59
sW_289_av,-0.015117077865225663,0.015117077865225663,60
DC_12h_av,0.013774732409683724,0.013774732409683724,61
t_950_av,0.013326051971724926,0.013326051971724926,62
wv_500_av,0.013152211093480899,0.013152211093480899,63
t_500_av,0.012867441734752752,0.012867441734752752,64
rh_300_av,-0.012544479683535018,0.012544479683535018,65
BLH_m_av,0.011994069806421084,0.011994069806421084,66
wSv_5_av,-0.011969154377714362,0.011969154377714362,67
wSdir_1_av,0.011863023734882051,0.011863023734882051,68
CCL_hPa_av,0.011231129663029672,0.011231129663029672,69
wdi_850_av,0.01055445034369785,0.01055445034369785,70
FWI_12h_av,0.009195490077715718,0.009195490077715718,71
3_8y_fir_p,0.008594168330092513,0.008594168330092513,72
wv_300_av,-0.00788086462141013,0.00788086462141013,73
FFMC_12h_a,0.007591144659770868,0.007591144659770868,74
BLH_m_rt,-0.007479606032518033,0.007479606032518033,75
f_start,0.006859685376100954,0.006859685376100954,76
VPD_Pa_av,-0.006615651196970067,0.006615651196970067,77
sW_3m_av,-0.0064567543509858535,0.0064567543509858535,78
wSdir_9_av,-0.006173320213075459,0.006173320213075459,79
vwv_950_av,0.005793050084991769,0.005793050084991769,80
t_850_av,-0.005529223722552676,0.005529223722552676,81
VentIdx_av,-0.005373965579209373,0.005373965579209373,82
t_300_av,-0.005086076960158118,0.005086076960158118,83
land_use,0.004627581729410663,0.004627581729410663,84
vwv_700_av,-0.004491664866814185,0.004491664866814185,85
wdir10_av,-0.0034966122904758158,0.0034966122904758158,86
wdir100_av,0.003225403675684077,0.003225403675684077,87
MidCC_p_av,0.0022695208702988626,0.0022695208702988626,88
wSdir_5_av,0.002048238842740248,0.002048238842740248,89
gp_700_av,-0.0009568565568017245,0.0009568565568017245,90
