class,n_obs,mean_actual,rmse_linear,mae_linear,rmse_pct,mae_pct
0-100,308,71.99477137662336,244.26266837893334,156.08686829416075,339.2783443968894,216.80306126347674
100-200,716,147.24445819553074,251.25376548790555,147.6006592418025,170.6371625574237,100.2419113429714
200-300,516,249.044253620155,282.0872218666671,180.60717177819538,113.26791032765993,72.52011204950723
300-400,416,348.610565403846,242.5900683075002,171.85295441277836,69.58769824617136,49.296542178432325
400-500,332,445.65717443373495,320.5797125833822,215.24316344827207,71.93415274660846,48.29792400891253
500-600,280,550.7510082571428,387.41901201540605,288.0206630850604,70.34376809248111,52.29598471303842
600-700,244,646.8148984590163,351.00268800530324,276.31832965640075,54.26632701898774,42.71984617464852
700-800,168,742.3547500952379,452.88989644380536,334.85631806723137,61.0072066469169,45.1073180341706
800-900,196,851.5168341836733,421.05287534967766,356.99410189187574,49.44739298704881,41.924491397062816
900-1000,204,946.9255975098035,563.3212309316764,409.3279052741928,59.48949235431819,43.22703983825456
1000-1100,128,1050.6099441874997,537.3112877373994,454.17602272509123,51.14279478412275,43.22974718046601
1100-1200,148,1156.0676214864861,456.1594155986789,386.510011251285,39.457848928607085,33.43316637086554
1200-1300,96,1246.2383543749995,680.0626607670871,539.7142668201121,54.569228942415684,43.307467221291226
1300-1400,72,1350.8085487777778,701.6982530352128,553.4251701136959,51.94653629266078,40.96991913579755
1400-1500,64,1442.6253818749997,686.7766243397874,595.2495826323277,47.606026690531024,41.26154926365387
1500-1600,68,1540.3270745882355,663.2003382039297,589.9342042712145,43.05581257027624,38.29928162685301
1600-1700,68,1643.5297796470588,818.9175298059052,741.144066334315,49.82675336626784,45.0946539279302
1700-1800,48,1759.6939224166663,653.3755595646269,596.8918559350074,37.130068544381686,33.92020898243878
1800-1900,48,1846.8678800833331,821.6044382441214,748.8140630055495,44.48636781787821,40.54508019121336
1900-2000,44,1946.078602636363,790.1628509752201,700.7740238324956,40.60282302599609,36.00954364757689
2000-2100,36,2053.1624749999987,848.7460292380964,794.8530762782706,41.338473675255386,38.71359845880054
2100-2200,60,2162.870247333332,1184.0635854163104,1100.539156198251,54.74501241469192,50.883272242296506
2200-2300,12,2238.748310333334,1598.350214896912,1595.3793963605312,71.39481501870698,71.26211503976481
2300-2400,32,2359.2328031249995,1187.6286778140197,1037.9246683496726,50.339613633758695,43.99416060063489
2400-2500,52,2452.333034153845,1231.6656344868954,1095.759616854445,50.224240237087955,44.682333173908695
2500-2600,24,2528.655086833333,1549.6635597611173,1423.3255687461217,61.28410188602593,56.28784946422133
2600-2700,20,2640.713612400001,1454.368380790369,1306.2523012529145,55.0748242430035,49.4658828249737
2700-2800,12,2733.385948333333,1199.82859311616,1006.8678488556287,43.89532308263122,36.835919547678984
2800-2900,8,2815.3289769999983,1858.3643811672994,1832.4551119228872,66.00878250283787,65.08848972511706
2900-3000,16,2949.747216499998,1162.4272028233327,1073.5839302259662,39.407688778247326,36.39579433182141
3000-3100,32,3047.4086577499997,1845.2367947608175,1693.0945341170373,60.55101241732428,55.55849983595911
3100-3200,16,3161.292705500001,2193.043352371475,2033.7051792584748,69.37172722272852,64.33144187250504
3200-3300,12,3247.924528999998,1899.8678643914159,1829.3002518548165,58.494827925585,56.32212927121305
3300-3400,20,3343.3133622,1777.8535204294453,1591.1741786574678,53.176395025668924,47.59273230704368
3400-3500,8,3462.353890999999,2166.094706959563,2159.022418126347,62.5613318323723,62.35706938388026
3600-3700,8,3693.7383094999977,2055.229814378136,1666.6570316601567,55.64091557575289,45.12114535492807
3800-3900,12,3824.585505999999,2421.395743283565,2173.2930119078665,63.31132457320895,56.82427568944165
3900-4000,16,3950.6799037499986,1577.0390311049748,1424.426265156442,39.918167746469265,36.05521833860475
4100-4200,8,4163.189775000003,2400.8545215207537,2382.2114218427023,57.66863033575624,57.22082226824985
4200-4300,8,4234.317768999998,2792.0342043454584,2602.464448312875,65.93823035168288,61.461245713910806
4500-4600,8,4548.153263000002,2659.820558708592,2652.5370439125672,58.48133088096841,58.321188634767566
4600-4700,8,4675.776310999994,2127.5560762506057,1955.298263388431,45.501665065658194,41.8176177245369
5200-5300,8,5233.095190999991,2812.0333682561927,2798.9482010425845,53.7355669182628,53.48552049762607
5400-5500,8,5429.235354499999,3435.2237624421286,3430.527543745313,63.272699342364255,63.18620062955891
5900-6000,8,5982.645481499991,3348.893591248301,3329.2269003552065,55.976801593943925,55.64807259012932
